id,day,countryname,deaths,cumulativedeaths,confirmed,cumulativeconfirmed
1,2/25/20,Afghanistan,0,0,1,1
2,2/26/20,Afghanistan,0,0,0,1
3,2/27/20,Afghanistan,0,0,0,1
4,2/28/20,Afghanistan,0,0,0,1
5,2/29/20,Afghanistan,0,0,0,1
6,3/1/20,Afghanistan,0,0,0,1
7,3/2/20,Afghanistan,0,0,0,1
8,3/3/20,Afghanistan,0,0,0,1
9,3/4/20,Afghanistan,0,0,0,1
10,3/5/20,Afghanistan,0,0,0,1
11,3/6/20,Afghanistan,0,0,0,1
12,3/7/20,Afghanistan,0,0,0,1
13,3/8/20,Afghanistan,0,0,3,4
14,3/9/20,Afghanistan,0,0,0,4
15,3/10/20,Afghanistan,0,0,0,4
16,3/11/20,Afghanistan,0,0,0,4
17,3/12/20,Afghanistan,0,0,3,7
18,3/13/20,Afghanistan,0,0,0,7
19,3/14/20,Afghanistan,0,0,0,7
20,3/15/20,Afghanistan,0,0,3,10
21,3/16/20,Afghanistan,0,0,6,16
22,3/17/20,Afghanistan,0,0,5,21
23,3/18/20,Afghanistan,0,0,1,22
24,3/19/20,Afghanistan,0,0,0,22
25,3/20/20,Afghanistan,0,0,0,22
26,3/21/20,Afghanistan,0,0,2,24
27,3/22/20,Afghanistan,0,0,0,24
28,3/23/20,Afghanistan,1,1,16,40
29,3/24/20,Afghanistan,0,1,2,42
30,3/25/20,Afghanistan,0,1,32,74
31,3/26/20,Afghanistan,1,2,6,80
32,3/27/20,Afghanistan,0,2,0,80
33,3/28/20,Afghanistan,0,2,26,106
34,3/29/20,Afghanistan,2,4,8,114
35,3/30/20,Afghanistan,0,4,0,114
36,3/31/20,Afghanistan,0,4,52,166
37,4/1/20,Afghanistan,0,4,26,192
38,4/2/20,Afghanistan,0,4,43,235
39,4/3/20,Afghanistan,1,5,34,269
40,4/4/20,Afghanistan,0,5,1,270
41,4/5/20,Afghanistan,2,7,29,299
42,4/6/20,Afghanistan,0,7,38,337
43,4/7/20,Afghanistan,0,7,0,337
44,3/9/20,Albania,0,0,2,2
45,3/10/20,Albania,0,0,0,2
46,3/11/20,Albania,0,0,8,10
47,3/12/20,Albania,0,0,0,10
48,3/13/20,Albania,0,0,13,23
49,3/14/20,Albania,1,1,10,33
50,3/15/20,Albania,0,1,5,38
51,3/16/20,Albania,0,1,4,42
52,3/17/20,Albania,0,1,9,51
53,3/18/20,Albania,0,1,4,55
54,3/19/20,Albania,1,2,4,59
55,3/20/20,Albania,0,2,11,70
56,3/21/20,Albania,0,2,0,70
57,3/22/20,Albania,0,2,6,76
58,3/23/20,Albania,0,2,13,89
59,3/24/20,Albania,2,4,34,123
60,3/25/20,Albania,1,5,23,146
61,3/26/20,Albania,0,5,28,174
62,3/27/20,Albania,3,8,12,186
63,3/28/20,Albania,1,9,11,197
64,3/29/20,Albania,1,10,15,212
65,3/30/20,Albania,0,10,11,223
66,3/31/20,Albania,1,11,0,223
67,4/1/20,Albania,2,13,20,243
68,4/2/20,Albania,2,15,34,277
69,4/3/20,Albania,1,16,0,277
70,4/4/20,Albania,1,17,56,333
71,4/5/20,Albania,1,18,0,333
72,4/6/20,Albania,3,21,44,377
73,4/7/20,Albania,0,21,0,377
74,2/26/20,Algeria,0,0,1,1
75,2/27/20,Algeria,0,0,0,1
76,2/28/20,Algeria,0,0,0,1
77,2/29/20,Algeria,0,0,0,1
78,3/1/20,Algeria,0,0,0,1
79,3/2/20,Algeria,0,0,0,1
80,3/3/20,Algeria,0,0,4,5
81,3/4/20,Algeria,0,0,0,5
82,3/5/20,Algeria,0,0,7,12
83,3/6/20,Algeria,0,0,0,12
84,3/7/20,Algeria,0,0,5,17
85,3/8/20,Algeria,0,0,0,17
86,3/9/20,Algeria,0,0,3,20
87,3/10/20,Algeria,0,0,0,20
88,3/11/20,Algeria,0,0,0,20
89,3/12/20,Algeria,1,1,5,25
