day,countryname,deaths,cumulativedeaths,confirmed,cumulativeconfirmed
2020-02-01,Spain,0,0,1,1
2020-02-02,Spain,0,0,0,1
2020-02-03,Spain,0,0,0,1
2020-02-04,Spain,0,0,0,1
2020-02-05,Spain,0,0,0,1
2020-02-06,Spain,0,0,0,1
2020-02-07,Spain,0,0,0,1
2020-02-08,Spain,0,0,0,1
2020-02-09,Spain,0,0,0,1
2020-02-10,Spain,0,0,1,2
2020-02-11,Spain,0,0,0,2
2020-02-12,Spain,0,0,0,2
2020-02-13,Spain,0,0,0,2
2020-02-14,Spain,0,0,0,2
2020-02-15,Spain,0,0,0,2
2020-02-16,Spain,0,0,0,2
2020-02-17,Spain,0,0,0,2
2020-02-18,Spain,0,0,0,2
2020-02-19,Spain,0,0,0,2
2020-02-20,Spain,0,0,0,2
2020-02-21,Spain,0,0,0,2
2020-02-22,Spain,0,0,0,2
2020-02-23,Spain,0,0,0,2
2020-02-24,Spain,0,0,0,2
2020-02-25,Spain,0,0,0,2
2020-02-26,Spain,0,0,0,2
2020-02-27,Spain,0,0,10,12
2020-02-28,Spain,0,0,13,25
2020-02-29,Spain,0,0,7,32
2020-03-01,Spain,0,0,13,45
2020-03-02,Spain,0,0,0,45
2020-03-03,Spain,0,0,69,114
2020-03-04,Spain,0,0,37,151
2020-03-05,Spain,1,1,47,198
2020-03-06,Spain,2,3,59,257
2020-03-07,Spain,2,5,117,374
2020-03-08,Spain,0,5,56,430
2020-03-09,Spain,5,10,159,589
2020-03-10,Spain,18,28,435,1024
2020-03-11,Spain,8,36,615,1639
2020-03-12,Spain,12,48,501,2140
2020-03-13,Spain,36,84,825,2965
2020-03-14,Spain,36,120,1266,4231
2020-03-15,Spain,16,136,1522,5753
2020-03-16,Spain,152,288,2000,7753
2020-03-17,Spain,21,309,1438,9191
2020-03-18,Spain,182,491,1987,11178
2020-03-19,Spain,107,598,2538,13716
2020-03-20,Spain,169,767,3431,17147
2020-03-21,Spain,235,1002,2833,19980
2020-03-22,Spain,324,1326,4946,24926
2020-03-23,Spain,394,1720,3646,28572
2020-03-24,Spain,462,2182,4517,33089
2020-03-25,Spain,514,2696,6584,39673
2020-03-26,Spain,738,3434,7937,47610
2020-03-27,Spain,655,4089,8578,56188
2020-03-28,Spain,769,4858,7871,64059
2020-03-29,Spain,832,5690,8189,72248
2020-03-30,Spain,838,6528,6549,78797
2020-03-31,Spain,812,7340,6398,85195
2020-04-01,Spain,849,8189,9222,94417
2020-04-02,Spain,864,9053,7719,102136
2020-04-03,Spain,950,10003,8102,110238
2020-04-04,Spain,932,10935,7472,117710
2020-04-05,Spain,809,11744,7026,124736
2020-04-06,Spain,674,12418,6023,130759
2020-04-07,Spain,0,12418,0,130759
