day,countryname,deaths,cumulativedeaths,confirmed,cumulativeconfirmed
2020-01-21,United States of America,0,0,1,1
2020-01-22,United States of America,0,0,0,1
2020-01-23,United States of America,0,0,0,1
2020-01-24,United States of America,0,0,0,1
2020-01-25,United States of America,0,0,1,2
2020-01-26,United States of America,0,0,0,2
2020-01-27,United States of America,0,0,3,5
2020-01-28,United States of America,0,0,0,5
2020-01-29,United States of America,0,0,0,5
2020-01-30,United States of America,0,0,0,5
2020-01-31,United States of America,0,0,1,6
2020-02-01,United States of America,0,0,1,7
2020-02-02,United States of America,0,0,1,8
2020-02-03,United States of America,0,0,3,11
2020-02-04,United States of America,0,0,0,11
2020-02-05,United States of America,0,0,0,11
2020-02-06,United States of America,0,0,1,12
2020-02-07,United States of America,0,0,0,12
2020-02-08,United States of America,0,0,0,12
2020-02-09,United States of America,0,0,0,12
2020-02-10,United States of America,0,0,0,12
2020-02-11,United States of America,0,0,1,13
2020-02-12,United States of America,0,0,0,13
2020-02-13,United States of America,0,0,1,14
2020-02-14,United States of America,0,0,1,15
2020-02-15,United States of America,0,0,0,15
2020-02-16,United States of America,0,0,0,15
2020-02-17,United States of America,0,0,0,15
2020-02-18,United States of America,0,0,0,15
2020-02-19,United States of America,0,0,0,15
2020-02-20,United States of America,0,0,0,15
2020-02-21,United States of America,0,0,0,15
2020-02-22,United States of America,0,0,20,35
2020-02-23,United States of America,0,0,0,35
2020-02-24,United States of America,0,0,0,35
2020-02-25,United States of America,0,0,18,53
2020-02-26,United States of America,0,0,0,53
2020-02-27,United States of America,0,0,6,59
2020-02-28,United States of America,0,0,0,59
2020-02-29,United States of America,0,0,3,62
2020-03-01,United States of America,0,0,0,62
2020-03-02,United States of America,0,0,0,62
2020-03-03,United States of America,2,2,2,64
2020-03-04,United States of America,4,6,44,108
2020-03-05,United States of America,3,9,21,129
2020-03-06,United States of America,1,10,19,148
2020-03-07,United States of America,1,11,65,213
2020-03-08,United States of America,0,11,0,213
2020-03-09,United States of America,0,11,0,213
2020-03-10,United States of America,8,19,259,472
2020-03-11,United States of America,6,25,224,696
2020-03-12,United States of America,4,29,291,987
2020-03-13,United States of America,7,36,277,1264
2020-03-14,United States of America,5,41,414,1678
2020-03-15,United States of America,0,41,0,1678
2020-03-16,United States of America,0,41,36,1714
2020-03-17,United States of America,17,58,1822,3536
2020-03-18,United States of America,21,79,820,4356
2020-03-19,United States of America,21,100,2731,7087
2020-03-20,United States of America,50,150,3355,10442
2020-03-21,United States of America,51,201,4777,15219
2020-03-22,United States of America,0,201,0,15219
2020-03-23,United States of America,201,402,16354,31573
2020-03-24,United States of America,69,471,10591,42164
2020-03-25,United States of America,202,673,9750,51914
2020-03-26,United States of America,211,884,11656,63570
2020-03-27,United States of America,107,991,4764,68334
2020-03-28,United States of America,252,1243,16894,85228
2020-03-29,United States of America,425,1668,18093,103321
2020-03-30,United States of America,444,2112,19332,122653
2020-03-31,United States of America,286,2398,17987,140640
2020-04-01,United States of America,452,2850,22559,163199
2020-04-02,United States of America,996,3846,24103,187302
2020-04-03,United States of America,947,4793,26298,213600
2020-04-04,United States of America,1061,5854,28103,241703
2020-04-05,United States of America,1166,7020,32105,273808
2020-04-06,United States of America,1338,8358,33510,307318
2020-04-07,United States of America,0,8358,0,307318
